customerID,churn_probability,risk_tier,MonthlyCharges,value_tier,segment,Contract,tenure,expected_retained_value,net_expected_value,recommend_intervention
9426-SXNHE,0.2049727987263923,High Risk,18.75,Low Value,High Risk / Low Value,Month-to-month,2,14.988635906867437,-12.511364093132563,False
3806-YAZOV,0.1874600923856278,Low Risk,18.8,Low Value,Low Risk / Low Value,Month-to-month,3,13.744573973714232,-13.755426026285768,False
3387-PLKUI,0.105206333370694,Low Risk,18.8,Low Value,Low Risk / Low Value,Month-to-month,13,7.713728362739285,-19.786271637260715,False
8992-CEUEN,0.2686523253822683,High Risk,18.85,Low Value,High Risk / Low Value,Month-to-month,1,19.749975700477457,-7.7500242995225435,False
0620-XEFWH,0.1552337779707432,Low Risk,18.85,Low Value,Low Risk / Low Value,Month-to-month,4,11.412011187519187,-16.087988812480813,False
5863-OOKCL,0.1370513306365874,Low Risk,18.85,Low Value,Low Risk / Low Value,Month-to-month,10,10.075328571748724,-17.424671428251276,False
9318-NKNFC,0.2604520304567116,High Risk,18.85,Low Value,High Risk / Low Value,Month-to-month,1,19.147131019025156,-8.352868980974844,False
9975-SKRNR,0.199948391341097,High Risk,18.9,Low Value,High Risk / Low Value,Month-to-month,1,14.738195925752258,-12.761804074247742,False
5025-GOOKI,0.1136026802410773,Low Risk,18.9,Low Value,Low Risk / Low Value,Month-to-month,20,8.373653560569807,-19.126346439430193,False
7968-QUXNS,0.1612233779017002,Low Risk,18.95,Low Value,Low Risk / Low Value,Month-to-month,6,11.915213743825152,-15.584786256174848,False
9025-ZRPVR,0.1888086973996843,Low Risk,18.95,Low Value,Low Risk / Low Value,Month-to-month,9,13.953906781323667,-13.546093218676333,False
1386-ZIKUV,0.2044577299182229,High Risk,18.95,Low Value,High Risk / Low Value,Month-to-month,7,15.110448529606263,-12.389551470393737,False
1218-VKFPE,0.1099295303490323,Low Risk,19.0,Low Value,Low Risk / Low Value,Month-to-month,12,8.145778198863294,-19.354221801136706,False
1423-BMPBQ,0.2354735700677132,High Risk,19.0,Low Value,High Risk / Low Value,Month-to-month,1,17.448591542017546,-10.051408457982454,False
2023-VQFDL,0.1289006054622596,Low Risk,19.0,Low Value,Low Risk / Low Value,Month-to-month,18,9.551534864753435,-17.948465135246565,False
5222-JCXZT,0.1759958704503479,Low Risk,19.0,Low Value,Low Risk / Low Value,Month-to-month,4,13.04129400037078,-14.45870599962922,False
7234-KMNRQ,0.1757583383736236,Low Risk,19.0,Low Value,Low Risk / Low Value,Month-to-month,4,13.023692873485508,-14.476307126514492,False
1015-OWJKI,0.1995600612347874,High Risk,19.05,Low Value,High Risk / Low Value,Month-to-month,1,14.82631474943853,-12.67368525056147,False
9467-ROOLM,0.0677919540439056,Low Risk,19.05,Low Value,Low Risk / Low Value,Month-to-month,25,5.036603225691967,-22.463396774308034,False
1991-VOPLL,0.1434240072683193,Low Risk,19.05,Low Value,Low Risk / Low Value,Month-to-month,9,10.655686619999784,-16.844313380000216,False
1431-CYWMH,0.0723606035888554,Low Risk,19.05,Low Value,Low Risk / Low Value,Month-to-month,22,5.376031043634012,-22.12396895636599,False
