customerID,churn_probability,risk_tier,MonthlyCharges,value_tier,segment,Contract,tenure
9426-SXNHE,0.20497279872639237,High Risk,18.75,Low Value,High Risk / Low Value,Month-to-month,2
3806-YAZOV,0.1874600923856278,Low Risk,18.8,Low Value,Low Risk / Low Value,Month-to-month,3
3387-PLKUI,0.10520633337069409,Low Risk,18.8,Low Value,Low Risk / Low Value,Month-to-month,13
8992-CEUEN,0.26865232538226835,High Risk,18.85,Low Value,High Risk / Low Value,Month-to-month,1
0620-XEFWH,0.15523377797074328,Low Risk,18.85,Low Value,Low Risk / Low Value,Month-to-month,4
5863-OOKCL,0.1370513306365874,Low Risk,18.85,Low Value,Low Risk / Low Value,Month-to-month,10
9318-NKNFC,0.26045203045671167,High Risk,18.85,Low Value,High Risk / Low Value,Month-to-month,1
9975-SKRNR,0.199948391341097,High Risk,18.9,Low Value,High Risk / Low Value,Month-to-month,1
5025-GOOKI,0.11360268024107736,Low Risk,18.9,Low Value,Low Risk / Low Value,Month-to-month,20
7968-QUXNS,0.1612233779017002,Low Risk,18.95,Low Value,Low Risk / Low Value,Month-to-month,6
9025-ZRPVR,0.18880869739968434,Low Risk,18.95,Low Value,Low Risk / Low Value,Month-to-month,9
1386-ZIKUV,0.20445772991822297,High Risk,18.95,Low Value,High Risk / Low Value,Month-to-month,7
1218-VKFPE,0.10992953034903231,Low Risk,19.0,Low Value,Low Risk / Low Value,Month-to-month,12
1423-BMPBQ,0.23547357006771322,High Risk,19.0,Low Value,High Risk / Low Value,Month-to-month,1
2023-VQFDL,0.12890060546225962,Low Risk,19.0,Low Value,Low Risk / Low Value,Month-to-month,18
5222-JCXZT,0.17599587045034795,Low Risk,19.0,Low Value,Low Risk / Low Value,Month-to-month,4
7234-KMNRQ,0.1757583383736236,Low Risk,19.0,Low Value,Low Risk / Low Value,Month-to-month,4
1015-OWJKI,0.19956006123478748,High Risk,19.05,Low Value,High Risk / Low Value,Month-to-month,1
9467-ROOLM,0.06779195404390562,Low Risk,19.05,Low Value,Low Risk / Low Value,Month-to-month,25
1991-VOPLL,0.14342400726831936,Low Risk,19.05,Low Value,Low Risk / Low Value,Month-to-month,9
1431-CYWMH,0.07236060358885542,Low Risk,19.05,Low Value,Low Risk / Low Value,Month-to-month,22
6569-KTMDU,0.20310765966785213,High Risk,19.1,Low Value,High Risk / Low Value,Month-to-month,1
6121-VZNQB,0.26409411991785714,High Risk,19.1,Low Value,High Risk / Low Value,Month-to-month,1
9441-QHEVC,0.19943074374615616,High Risk,19.1,Low Value,High Risk / Low Value,Month-to-month,1
