contract_type,payment_method,customers,churned,churn_rate_pct
Month-to-month,Electronic check,1850,994,53.7
Month-to-month,Bank transfer (automatic),589,201,34.1
Month-to-month,Credit card (automatic),543,178,32.8
Month-to-month,Mailed check,893,282,31.6
One year,Electronic check,347,64,18.4
One year,Credit card (automatic),398,41,10.3
One year,Bank transfer (automatic),391,38,9.7
One year,Mailed check,337,23,6.8
Two year,Electronic check,168,13,7.7
Two year,Bank transfer (automatic),564,19,3.4
Two year,Credit card (automatic),581,13,2.2
Two year,Mailed check,382,3,0.8
